"Step","[GPU] Wide Deep Network - best","[GPU] Wide Deep Network - best__MIN","[GPU] Wide Deep Network - best__MAX"
"66","-0.04780337956423848","-0.04780337956423848","-0.04780337956423848"
"67","-0.04780337956423848","-0.04780337956423848","-0.04780337956423848"
"68","-0.04614910418518649","-0.04614910418518649","-0.04614910418518649"
"69","-0.04614910418518649","-0.04614910418518649","-0.04614910418518649"
"70","-0.04614910418518649","-0.04614910418518649","-0.04614910418518649"
"71","-0.04614910418518649","-0.04614910418518649","-0.04614910418518649"
"72","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"73","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"74","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"75","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"76","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"77","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"78","-0.04290068550205222","-0.04290068550205222","-0.04290068550205222"
"79","-0.04187292708764307","-0.04187292708764307","-0.04187292708764307"
"80","-0.04098741439368679","-0.04098741439368679","-0.04098741439368679"
"81","-0.04098741439368679","-0.04098741439368679","-0.04098741439368679"
"82","-0.04098741439368679","-0.04098741439368679","-0.04098741439368679"
"83","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"84","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"85","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"86","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"87","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"88","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"89","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"90","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"91","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"92","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"93","-0.03938498513343853","-0.03938498513343853","-0.03938498513343853"
"94","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"95","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"96","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"97","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"98","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"99","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"100","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"101","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"102","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"103","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"104","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"105","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"106","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"107","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"108","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"109","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"110","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"111","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"112","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"113","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"114","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"115","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"116","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"117","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"118","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
"119","-0.038723662632194435","-0.038723662632194435","-0.038723662632194435"
