"Step","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MIN","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MAX","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-PIT501-PIT502-PIT503-UV401.train_loss","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-PIT501-PIT502-PIT503-UV401.train_loss__MIN","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-PIT501-PIT502-PIT503-UV401.train_loss__MAX","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT301-LIT401-MV201-MV301-MV302-MV303-MV304-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT301-LIT401-MV201-MV301-MV302-MV303-MV304-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MIN","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT201-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT301-LIT401-MV201-MV301-MV302-MV303-MV304-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MAX","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-FIT101-FIT201-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT401-MV101-MV201-P101-P102-P201-P202-P203-P204-P205-P206-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-FIT101-FIT201-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT401-MV101-MV201-P101-P102-P201-P202-P203-P204-P205-P206-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MIN","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-FIT101-FIT201-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT401-MV101-MV201-P101-P102-P201-P202-P203-P204-P205-P206-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MAX","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT601-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P601-P602-P603-UV401.train_loss","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT601-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P601-P602-P603-UV401.train_loss__MIN","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT401-AIT402-DPIT301-FIT101-FIT201-FIT301-FIT401-FIT601-LIT101-LIT301-LIT401-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P401-P402-P403-P404-P601-P602-P603-UV401.train_loss__MAX","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503.train_loss","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503.train_loss__MIN","[GPU] Wide Deep Network - AIT201-AIT202-AIT203-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT201-FIT301-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-MV101-MV201-MV301-MV302-MV303-MV304-P101-P102-P201-P202-P203-P204-P205-P206-P301-P302-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503.train_loss__MAX","[GPU] Wide Deep Network - AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-LIT401-MV101-MV301-MV302-MV303-MV304-P101-P102-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss","[GPU] Wide Deep Network - AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-LIT401-MV101-MV301-MV302-MV303-MV304-P101-P102-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MIN","[GPU] Wide Deep Network - AIT401-AIT402-AIT501-AIT502-AIT503-AIT504-DPIT301-FIT101-FIT301-FIT401-FIT501-FIT502-FIT503-FIT504-FIT601-LIT101-LIT301-LIT401-MV101-MV301-MV302-MV303-MV304-P101-P102-P301-P302-P401-P402-P403-P404-P501-P502-P601-P602-P603-PIT501-PIT502-PIT503-UV401.train_loss__MAX"
"0","-0.08589771441273947","-0.08589771441273947","-0.08589771441273947","-0.24926609800642632","-0.24926609800642632","-0.24926609800642632","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2519931868760609","-0.2519931868760609","-0.2519931868760609","-0.21028516240729328","-0.21028516240729328","-0.21028516240729328","-0.20952901916528574","-0.20952901916528574","-0.20952901916528574"
"1","-0.07710232193897269","-0.07710232193897269","-0.07710232193897269","-0.2485811779588883","-0.2485811779588883","-0.2485811779588883","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2519121456399204","-0.2519121456399204","-0.2519121456399204","-0.2063152313232422","-0.2063152313232422","-0.2063152313232422","-0.20952901916528574","-0.20952901916528574","-0.20952901916528574"
"2","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24905124399427087","-0.24905124399427087","-0.24905124399427087","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2518176071648401","-0.2518176071648401","-0.2518176071648401","-0.20356194972991942","-0.20356194972991942","-0.20356194972991942","-0.20952901916528574","-0.20952901916528574","-0.20952901916528574"
"3","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.249334961714576","-0.249334961714576","-0.249334961714576","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2519696431232823","-0.2519696431232823","-0.2519696431232823","-0.2102503240734893","-0.2102503240734893","-0.2102503240734893","-0.20486645698547362","-0.20486645698547362","-0.20486645698547362"
"4","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24910018358670447","-0.24910018358670447","-0.24910018358670447","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2517349555222395","-0.2517349555222395","-0.2517349555222395","-0.2101862684729064","-0.2101862684729064","-0.2101862684729064","-0.20335798263549804","-0.20335798263549804","-0.20335798263549804"
"5","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24866288824487315","-0.24866288824487315","-0.24866288824487315","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2518261308263782","-0.2518261308263782","-0.2518261308263782","-0.2104991214519423","-0.2104991214519423","-0.2104991214519423","-0.2036656141281128","-0.2036656141281128","-0.2036656141281128"
"6","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.2489583348546009","-0.2489583348546009","-0.2489583348546009","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2517993900174804","-0.2517993900174804","-0.2517993900174804","-0.21016587130541872","-0.21016587130541872","-0.21016587130541872","-0.20275328159332276","-0.20275328159332276","-0.20275328159332276"
"7","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24874867375893775","-0.24874867375893775","-0.24874867375893775","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2521099583640672","-0.2521099583640672","-0.2521099583640672","-0.20983058257826118","-0.20983058257826118","-0.20983058257826118","-0.20262820720672609","-0.20262820720672609","-0.20262820720672609"
"8","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24907510576034955","-0.24907510576034955","-0.24907510576034955","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2519539933362299","-0.2519539933362299","-0.2519539933362299","-0.2101655961085293","-0.2101655961085293","-0.2101655961085293","-0.20325167179107667","-0.20325167179107667","-0.20325167179107667"
"9","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24889366112551534","-0.24889366112551534","-0.24889366112551534","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2517881016464918","-0.2517881016464918","-0.2517881016464918","-0.2098893560726628","-0.2098893560726628","-0.2098893560726628","-0.20310237407684326","-0.20310237407684326","-0.20310237407684326"
"10","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.2491041265455075","-0.2491041265455075","-0.2491041265455075","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.2520347683405242","-0.2520347683405242","-0.2520347683405242","-0.21066700826409518","-0.21066700826409518","-0.21066700826409518","-0.20379056930541992","-0.20379056930541992","-0.20379056930541992"
"11","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24917024566893237","-0.24917024566893237","-0.24917024566893237","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.24438825870483388","-0.24438825870483388","-0.24438825870483388","-0.209954547023487","-0.209954547023487","-0.209954547023487","-0.20347681045532226","-0.20347681045532226","-0.20347681045532226"
"12","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24924808612419888","-0.24924808612419888","-0.24924808612419888","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.24435320949700914","-0.24435320949700914","-0.24435320949700914","-0.20957876400553177","-0.20957876400553177","-0.20957876400553177","-0.20296673774719237","-0.20296673774719237","-0.20296673774719237"
"13","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24151485518046237","-0.24151485518046237","-0.24151485518046237","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.24429056052911036","-0.24429056052911036","-0.24429056052911036","-0.20489697456359862","-0.20489697456359862","-0.20489697456359862","-0.20296673774719237","-0.20296673774719237","-0.20296673774719237"
"14","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.241526120677392","-0.241526120677392","-0.241526120677392","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.24430020151715706","-0.24430020151715706","-0.24430020151715706","-0.20979460575983055","-0.20979460575983055","-0.20979460575983055","-0.20262424945831298","-0.20262424945831298","-0.20262424945831298"
"15","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24163409287470825","-0.24163409287470825","-0.24163409287470825","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.24292935516404293","-0.24292935516404293","-0.24292935516404293","-0.21009428229366664","-0.21009428229366664","-0.21009428229366664","-0.20292367935180664","-0.20292367935180664","-0.20292367935180664"
"16","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24162444610443065","-0.24162444610443065","-0.24162444610443065","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.17335458573099385","-0.17335458573099385","-0.17335458573099385","-0.20997567858269464","-0.20997567858269464","-0.20997567858269464","-0.20332894325256348","-0.20332894325256348","-0.20332894325256348"
"17","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24175889843006423","-0.24175889843006423","-0.24175889843006423","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.1361470196648159","-0.1361470196648159","-0.1361470196648159","-0.2036139726638794","-0.2036139726638794","-0.2036139726638794","-0.20332894325256348","-0.20332894325256348","-0.20332894325256348"
"18","-0.08142714627270628","-0.08142714627270628","-0.08142714627270628","-0.24151974480933586","-0.24151974480933586","-0.24151974480933586","-0.15541938705882205","-0.15541938705882205","-0.15541938705882205","-0.20406045467348033","-0.20406045467348033","-0.20406045467348033","-0.13451229777238602","-0.13451229777238602","-0.13451229777238602","-0.2028527021408081","-0.2028527021408081","-0.2028527021408081","-0.20332894325256348","-0.20332894325256348","-0.20332894325256348"
