"Step","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MAX","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MIN","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT601.train_loss","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MAX"
"12","-0.010633350485606888","-0.010633350485606888","-0.010633350485606888","-0.005598406751592339","-0.005598406751592339","-0.005598406751592339","-0.003980135903234464","-0.003980135903234464","-0.003980135903234464","-0.016660821027065863","-0.016660821027065863","-0.016660821027065863","-0.029000844795476734","-0.029000844795476734","-0.029000844795476734","-0.0069446511920756996","-0.0069446511920756996","-0.0069446511920756996"
"13","-0.010340389888310866","-0.010340389888310866","-0.010340389888310866","-0.005345877776768847","-0.005345877776768847","-0.005345877776768847","-0.003959293458197459","-0.003959293458197459","-0.003959293458197459","-0.01639656488339306","-0.01639656488339306","-0.01639656488339306","-0.028715111636505305","-0.028715111636505305","-0.028715111636505305","-0.006942874228539401","-0.006942874228539401","-0.006942874228539401"
"14","-0.01035531717096655","-0.01035531717096655","-0.01035531717096655","-0.00529236415885903","-0.00529236415885903","-0.00529236415885903","-0.003925455609602568","-0.003925455609602568","-0.003925455609602568","-0.016335677333118328","-0.016335677333118328","-0.016335677333118328","-0.028502276626723985","-0.028502276626723985","-0.028502276626723985","-0.006941396675091059","-0.006941396675091059","-0.006941396675091059"
"15","-0.010295959721681883","-0.010295959721681883","-0.010295959721681883","-0.005219879770584242","-0.005219879770584242","-0.005219879770584242","-0.0038673422293071706","-0.0038673422293071706","-0.0038673422293071706","-0.016330337572783682","-0.016330337572783682","-0.016330337572783682","-0.02861848864042259","-0.02861848864042259","-0.02861848864042259","-0.006945717687418189","-0.006945717687418189","-0.006945717687418189"
"16","-0.010372349585532497","-0.010372349585532497","-0.010372349585532497","-0.005813749083861875","-0.005813749083861875","-0.005813749083861875","-0.0031671778853313466","-0.0031671778853313466","-0.0031671778853313466","-0.016434927759331964","-0.016434927759331964","-0.016434927759331964","-0.028141280571175327","-0.028141280571175327","-0.028141280571175327","-0.006942565589371157","-0.006942565589371157","-0.006942565589371157"
"17","-0.010165180336424799","-0.010165180336424799","-0.010165180336424799","-0.006586880710566572","-0.006586880710566572","-0.006586880710566572","-0.0025065261220988603","-0.0025065261220988603","-0.0025065261220988603","-0.01627961781391857","-0.01627961781391857","-0.01627961781391857","-0.028442604439507548","-0.028442604439507548","-0.028442604439507548","-0.006939717087242854","-0.006939717087242854","-0.006939717087242854"
"18","-0.010051246022031486","-0.010051246022031486","-0.010051246022031486","-0.006767968786992887","-0.006767968786992887","-0.006767968786992887","-0.002409194266944535","-0.002409194266944535","-0.002409194266944535","-0.01631618447327846","-0.01631618447327846","-0.01631618447327846","-0.02779245038428682","-0.02779245038428682","-0.02779245038428682","-0.006946321085626531","-0.006946321085626531","-0.006946321085626531"
"19","-0.009965366762862523","-0.009965366762862523","-0.009965366762862523","-0.0059535870952050025","-0.0059535870952050025","-0.0059535870952050025","-0.0023714522810286283","-0.0023714522810286283","-0.0023714522810286283","-0.016149645223685585","-0.016149645223685585","-0.016149645223685585","-0.02738514868010397","-0.02738514868010397","-0.02738514868010397","-0.006938593963693511","-0.006938593963693511","-0.006938593963693511"
"20","-0.009897826223423212","-0.009897826223423212","-0.009897826223423212","-0.00587611269595545","-0.00587611269595545","-0.00587611269595545","-0.0023628087288215423","-0.0023628087288215423","-0.0023628087288215423","-0.016121314831877873","-0.016121314831877873","-0.016121314831877873","-0.026981028401530643","-0.026981028401530643","-0.026981028401530643","-0.006939052349059697","-0.006939052349059697","-0.006939052349059697"
"21","-0.00960976934153918","-0.00960976934153918","-0.00960976934153918","-0.005594378183648781","-0.005594378183648781","-0.005594378183648781","-0.002338825942270803","-0.002338825942270803","-0.002338825942270803","-0.01620750685717586","-0.01620750685717586","-0.01620750685717586","-0.026928203380825518","-0.026928203380825518","-0.026928203380825518","-0.006941604136470244","-0.006941604136470244","-0.006941604136470244"
